SECT,CLASS,COUNTRY,YEARS,SCORES
ALLSEC,STRI,RUS,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.27971234917640686, 0.29216116666793823, 0.2938080430030823, 0.29510197043418884, 0.29552748799324036, 0.29552748799324036, 0.3301943242549896, 0.334292471408844, 0.39516448974609375, 0.3766864836215973, 0.3782423436641693]"
ALLSEC,STRI,SGP,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.21229508519172668, 0.21059107780456543, 0.21047647297382355, 0.20595110952854156, 0.20381639897823334, 0.20381639897823334, 0.24066348373889923, 0.2405974268913269, 0.2032540738582611, 0.2032540738582611, 0.21602599322795868]"
ALLSEC,STRI,SVK,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.15912939608097076, 0.15912939608097076, 0.15971674025058746, 0.15971674025058746, 0.15908890962600708, 0.15908890962600708, 0.15908890962600708, 0.15961948037147522, 0.167328342795372, 0.17125633358955383, 0.17125633358955383]"
ALLSEC,STRI,SVN,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.2186458855867386, 0.21790072321891785, 0.22562463581562042, 0.22562463581562042, 0.22600385546684265, 0.22600385546684265, 0.22600385546684265, 0.226425901055336, 0.23409302532672882, 0.23409302532672882, 0.23409302532672882]"
ALLSEC,STRI,SWE,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.18806931376457214, 0.18806931376457214, 0.18806931376457214, 0.18859662115573883, 0.18768328428268433, 0.18768328428268433, 0.18768328428268433, 0.1881810873746872, 0.1961451917886734, 0.20324401557445526, 0.20324401557445526]"
ALLSEC,STRI,THA,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.4248941242694855, 0.4241876006126404, 0.4241403639316559, 0.39283743500709534, 0.39250412583351135, 0.39250412583351135, 0.39250412583351135, 0.39250412583351135, 0.36659061908721924, 0.36659061908721924, 0.36659061908721924]"
ALLSEC,STRI,TUR,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.22843988239765167, 0.23383769392967224, 0.23418661952018738, 0.23445694148540497, 0.2564152181148529, 0.27070382237434387, 0.25688159465789795, 0.25688159465789795, 0.229970782995224, 0.229970782995224, 0.23427262902259827]"
ALLSEC,STRI,USA,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.17314131557941437, 0.17314131557941437, 0.1726876050233841, 0.17381635308265686, 0.17381635308265686, 0.17381635308265686, 0.17381635308265686, 0.17254255712032318, 0.17250511050224304, 0.17250511050224304, 0.17250511050224304]"
ALLSEC,STRI,VNM,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.3243069648742676, 0.3167363107204437, 0.3144509792327881, 0.3141963481903076, 0.30571186542510986, 0.31431257724761963, 0.3567914366722107, 0.35619428753852844, 0.31105291843414307, 0.3365861177444458, 0.3365861177444458]"
ALLSEC,STRI,ZAF,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.18128621578216553, 0.18128621578216553, 0.18128621578216553, 0.19144046306610107, 0.21052449941635132, 0.20510847866535187, 0.20510847866535187, 0.20510847866535187, 0.20510847866535187, 0.20510847866535187, 0.20510847866535187]"
ASBRD,Barriers to competition,AUS,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238]"
ASBRD,Barriers to competition,AUT,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174]"
ASBRD,Barriers to competition,BEL,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174]"
ASBRD,Barriers to competition,BRA,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935]"
ASBRD,Barriers to competition,CAN,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935]"
ASBRD,Barriers to competition,CHE,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174]"
ASBRD,Barriers to competition,CHL,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935, 0.0061606913805007935]"
ASBRD,Barriers to competition,CHN,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.030803456902503967, 0.030803456902503967, 0.030803456902503967, 0.030803456902503967, 0.030803456902503967, 0.030803456902503967, 0.030803456902503967, 0.030803456902503967, 0.030803456902503967, 0.030803456902503967, 0.030803456902503967]"
ASBRD,Barriers to competition,COL,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238]"
ASBRD,Barriers to competition,CRI,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238]"
ASBRD,Barriers to competition,CZE,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174]"
ASBRD,Barriers to competition,DEU,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174]"
ASBRD,Barriers to competition,DNK,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174]"
ASBRD,Barriers to competition,ESP,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238]"
ASBRD,Barriers to competition,EST,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238]"
ASBRD,Barriers to competition,FIN,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174]"
ASBRD,Barriers to competition,FRA,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174]"
ASBRD,Barriers to competition,GBR,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238]"
ASBRD,Barriers to competition,GRC,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174]"
ASBRD,Barriers to competition,HUN,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.030803456902503967, 0.030803456902503967, 0.030803456902503967, 0.030803456902503967, 0.030803456902503967, 0.030803456902503967, 0.030803456902503967]"
ASBRD,Barriers to competition,IDN,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.024642765522003174, 0.024642765522003174, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238]"
ASBRD,Barriers to competition,IND,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.030803456902503967, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174]"
ASBRD,Barriers to competition,IRL,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174]"
ASBRD,Barriers to competition,ISL,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.03696414828300476, 0.03696414828300476, 0.03696414828300476, 0.03696414828300476, 0.03696414828300476, 0.03696414828300476, 0.03696414828300476, 0.03696414828300476, 0.03696414828300476, 0.03696414828300476, 0.03696414828300476]"
ASBRD,Barriers to competition,ISR,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238]"
ASBRD,Barriers to competition,ITA,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174]"
ASBRD,Barriers to competition,JPN,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.012321382761001587, 0.012321382761001587, 0.012321382761001587, 0.012321382761001587, 0.012321382761001587, 0.012321382761001587, 0.012321382761001587, 0.012321382761001587, 0.012321382761001587, 0.012321382761001587, 0.012321382761001587]"
ASBRD,Barriers to competition,KAZ,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.01848207414150238, 0.024642765522003174]"
ASBRD,Barriers to competition,KOR,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174, 0.024642765522003174]"
